timestamp,scope,event_type,target,result,detail
2026-03-10T10:12:03+01:00,COMPLIANCE_REVIEW,review_query,incident-retention-summary,success,monthly review pack
2026-03-10T21:10:08+01:00,FACILITIES_ENV_ADMIN,alarm_test,ROOM01,success,scheduled test
2026-03-11T09:44:29+01:00,ARCH_REVIEW_READ,review_query,caregrid-stage-eu,success,comparison check
2026-03-11T20:18:29+01:00,FACILITIES_ENV_ADMIN,ventilation_test,ROOM01,success,scheduled test
2026-03-12T14:02:17+01:00,VENDOR_DIAGNOSTIC,diagnostic_query,ROOM01,success,ticketed environmental check
2026-03-12T19:42:10+01:00,FACILITIES_ENV_ADMIN,inspection_mode,ROOM01,success,scheduled inspection
2026-03-13T11:33:05+01:00,COMPLIANCE_REVIEW,review_query,access_scope_index,success,quarterly control review
2026-03-13T22:07:49+01:00,FACILITIES_ENV_ADMIN,alarm_test,ROOM01,success,scheduled test
2026-03-14T18:54:19+01:00,FACILITIES_ENV_ADMIN,access_test,ROOM01,success,scheduled access control check
2026-03-15T08:19:33+01:00,ARCH_REVIEW_READ,review_query,resilience-sim-eu,success,comparison check
2026-03-15T21:26:56+01:00,FACILITIES_ENV_ADMIN,alarm_test,ROOM01,success,scheduled test
2026-03-16T09:07:14+01:00,COMPLIANCE_REVIEW,review_query,room01-control-policy,success,policy confirmation
2026-03-16T20:11:25+01:00,FACILITIES_ENV_ADMIN,inspection_mode,ROOM01,success,scheduled inspection
2026-03-17T19:14:07+01:00,ARCH_REVIEW_READ,review_query,resilience-sim-eu,success,environment comparison
2026-03-17T19:57:44+01:00,ARCH_REVIEW_READ,review_query,resilience-review-shadow,success,hidden route query
2026-03-17T21:49:13+01:00,FACILITIES_ENV_ADMIN,zone_entry_record,ROOM01,success,after-hours protected-zone entry logged
2026-03-17T23:18:42+01:00,TCAP_CONTINUITY_OVERSIGHT,room_state_override,ROOM01,success,maintenance occupancy flag false
2026-03-17T23:18:44+01:00,TCAP_CONTINUITY_OVERSIGHT,alarm_sequence_start,ROOM01,success,fire workflow initiated
2026-03-17T23:19:03+01:00,TCAP_CONTINUITY_OVERSIGHT,room_isolation,ROOM01,success,incident mode enclosure state
2026-03-17T23:34:27+01:00,TCAP_CONTINUITY_OVERSIGHT,alarm_clear,ROOM01,success,incident cleared
2026-03-17T23:34:41+01:00,TCAP_CONTINUITY_OVERSIGHT,ventilation_restore,ROOM01,success,normal state restored
